Country Code,Country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014
NLD,Netherlands,"219,056.47 ","219,569.64 ","217,836.10 ","218,298.54 ","219,703.67 ","214,084.75 ","209,028.02 ","207,517.32 ","206,896.69 ","201,186.46 ","213,171.58 ","199,065.48 ","194,254.76 ","194,216.85 ","186,293.26 "
NZL,New Zealand,"76,102.25 ","78,822.23 ","79,366.77 ","81,750.04 ","81,300.42 ","83,278.23 ","83,325.51 ","80,984.93 ","80,877.76 ","78,256.61 ","78,672.07 ","78,515.56 ","80,847.38 ","80,151.36 ","80,876.97 "
NOR,Norway,"54,598.16 ","55,875.95 ","54,778.22 ","55,357.93 ","55,964.51 ","55,046.33 ","54,820.98 ","56,696.45 ","55,186.36 ","52,564.22 ","55,136.35 ","54,181.67 ","53,702.58 ","53,436.08 ","53,246.47 "
POL,Poland,"389,605.48 ","388,560.83 ","378,613.08 ","392,461.30 ","397,285.74 ","397,661.47 ","412,248.76 ","412,806.76 ","405,438.80 ","387,661.86 ","405,972.67 ","405,381.45 ","398,129.42 ","394,681.29 ","381,830.77 "
PRT,Portugal,"83,141.82 ","82,766.23 ","86,823.40 ","81,667.76 ","84,879.79 ","86,806.47 ","82,061.05 ","79,786.01 ","77,122.19 ","73,963.50 ","69,942.80 ","68,818.60 ","66,945.45 ","65,133.51 ","65,085.72 "
RUS,Russia,"2,309,086.02 ","2,319,301.90 ","2,393,722.90 ","2,443,495.21 ","2,472,205.16 ","2,544,866.33 ","2,554,289.04 ","2,586,123.67 ","2,456,620.19 ","2,573,184.52 ","2,634,906.05 ","2,674,245.81 ","2,614,875.12 ","2,619,990.83 ","2,629,877.47 "
SVK,Slovak Republic,"49,570.62 ","52,070.72 ","50,139.15 ","50,481.35 ","51,227.12 ","51,149.27 ","50,952.96 ","49,063.65 ","49,650.51 ","45,289.35 ","46,259.96 ","45,250.66 ","43,042.49 ","42,635.43 ","40,472.30 "
SVN,Slovenia,"19,074.90 ","19,984.64 ","20,174.62 ","19,895.47 ","20,233.65 ","20,549.40 ","20,742.31 ","20,891.16 ","21,609.72 ","19,642.34 ","19,664.66 ","19,674.33 ","19,104.44 ","18,400.65 ","16,668.11 "
ESP,Spain,"385,572.18 ","383,100.55 ","401,583.37 ","409,170.25 ","424,452.21 ","439,069.85 ","432,287.12 ","443,469.10 ","409,930.04 ","370,641.30 ","355,882.31 ","355,441.02 ","348,927.28 ","321,918.21 ","324,326.47 "
SWE,Sweden,"68,648.97 ","68,986.77 ","69,931.77 ","70,349.64 ","69,415.05 ","66,722.23 ","66,641.04 ","65,048.48 ","62,698.43 ","58,483.27 ","64,411.70 ","60,324.76 ","56,980.19 ","55,414.40 ","53,866.38 "
SWZ,Switzerland,"52,195.05 ","53,784.22 ","52,199.83 ","53,380.16 ","54,019.64 ","54,623.69 ","54,302.09 ","52,379.83 ","53,905.82 ","52,557.75 ","54,137.27 ","50,086.47 ","51,436.66 ","52,281.57 ","48,358.92 "
TUR,Turkey,"293,494.16 ","274,402.58 ","280,820.48 ","300,349.42 ","311,221.69 ","332,654.16 ","356,822.67 ","390,457.97 ","387,913.15 ","395,867.43 ","402,563.69 ","431,407.02 ","445,631.48 ","438,981.70 ","451,808.67 "
GBR,United Kingdom,"716,796.65 ","719,818.56 ","699,900.82 ","707,397.40 ","704,302.00 ","696,658.13 ","689,565.44 ","677,702.77 ","656,974.49 ","601,100.52 ","615,516.97 ","568,004.42 ","584,481.23 ","569,920.44 ","529,160.04 "
USA,United States,"7,216,645.32 ","7,100,821.60 ","7,139,381.26 ","7,180,533.86 ","7,313,761.39 ","7,320,276.72 ","7,251,841.92 ","7,351,465.39 ","7,145,128.59 ","6,698,061.59 ","6,922,945.80 ","6,771,119.19 ","6,528,790.27 ","6,709,106.69 ","6,763,141.33 "
TOT,Total,"20,060,148.16 ","19,918,449.49 ","20,104,730.81 ","20,463,228.28 ","20,698,163.39 ","20,833,025.34 ","20,785,771.82 ","21,068,798.16 ","20,580,659.84 ","19,902,385.94 ","20,510,362.69 ","20,434,210.39 ","19,066,251.85 ","19,266,613.30 ","19,039,458.46 "
